Postcode,Month,Capacity (kW)
5XXX,2009-10,1573
5XXX,2009-11,1639
5XXX,2009-12,1412
5XXX,2010-01,1246
5XXX,2010-02,1484
5XXX,2010-03,1737
5XXX,2010-04,2074
5XXX,2010-05,2559
5XXX,2010-06,2457
5XXX,2010-07,2419
5XXX,2010-08,2791
5XXX,2010-09,3504
5XXX,2010-10,3531
5XXX,2010-11,4864
5XXX,2010-12,4648
5XXX,2011-01,5637
5XXX,2011-02,7753
5XXX,2011-03,10139
5XXX,2011-04,10634
5XXX,2011-05,15680
5XXX,2011-06,24665
5XXX,2011-07,12269
5XXX,2011-08,13936
5XXX,2011-09,17292
5XXX,2011-10,18134
5XXX,2011-11,17004
5XXX,2011-12,10438
5XXX,2012-01,7872
5XXX,2012-02,8100
5XXX,2012-03,8324
5XXX,2012-04,8833
5XXX,2012-05,16454
5XXX,2012-06,24611
5XXX,2012-07,10106
5XXX,2012-08,9388
5XXX,2012-09,7233
5XXX,2012-10,9302
5XXX,2012-11,9694
5XXX,2012-12,18189
5XXX,2013-01,7454
5XXX,2013-02,7538
5XXX,2013-03,8015
5XXX,2013-04,7244
5XXX,2013-05,8222
5XXX,2013-06,8398
5XXX,2013-07,10069
5XXX,2013-08,12993
5XXX,2013-09,16116
5XXX,2013-10,20342
5XXX,2013-11,19919
5XXX,2013-12,15149
5XXX,2014-01,17539
5XXX,2014-02,4766
5XXX,2014-03,5537
5XXX,2014-04,4340
5XXX,2014-05,5901
5XXX,2014-06,4773
5XXX,2014-07,6347
5XXX,2014-08,6088
5XXX,2014-09,6848
5XXX,2014-10,8052
5XXX,2014-11,5933
5XXX,2014-12,6145
5XXX,2015-01,4674
5XXX,2015-02,5380
5XXX,2015-03,5549
5XXX,2015-04,5289
5XXX,2015-05,5483
5XXX,2015-06,5908
5XXX,2015-07,5942
5XXX,2015-08,5190
5XXX,2015-09,6125
5XXX,2015-10,5781
5XXX,2015-11,6142
5XXX,2015-12,5441
5XXX,2016-01,4265
5XXX,2016-02,5860
5XXX,2016-03,5604
5XXX,2016-04,5300
5XXX,2016-05,5313
5XXX,2016-06,5519
5XXX,2016-07,5547
5XXX,2016-08,7817
5XXX,2016-09,6844
5XXX,2016-10,6971
5XXX,2016-11,8791
5XXX,2016-12,11698
5XXX,2017-01,6202
5XXX,2017-02,7782
5XXX,2017-03,10145
5XXX,2017-04,5897
5XXX,2017-05,7786
5XXX,2017-06,8136
