C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/11,04:40:00,0000000422617147,,0000000422617145
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 13:00:00",4457,0,0,"2024/06/10 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 13:30:00",4544,0,0,"2024/06/10 13:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 14:00:00",4727,0,0,"2024/06/10 14:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 14:30:00",4983,0,0,"2024/06/10 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 15:00:00",5281,0,0,"2024/06/10 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 15:30:00",5685,0,0,"2024/06/10 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 16:00:00",6235,0,0,"2024/06/10 16:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 16:30:00",6734,0,0,"2024/06/10 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 17:00:00",7220,0,0,"2024/06/10 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 17:30:00",7706,0,0,"2024/06/10 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 18:00:00",8011,0,0,"2024/06/10 18:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 18:30:00",7952,0,0,"2024/06/10 18:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 19:00:00",7883,0,0,"2024/06/10 19:00:02"
